BEAUTY VS PHOTOGRAPHY:	 statistic= 4.246946073855005;	 p_value= 2.19290400471574e-05;
BEAUTY VS PRODUCTIVITY:	 statistic= -2.438171056367583;	 p_value= 0.01478271092774261;
BEAUTY VS SHOPPING:	 statistic= -5.953142085675091;	 p_value= 2.7425741220390177e-09;
BEAUTY VS SOCIAL:	 statistic= -6.032286744764555;	 p_value= 1.6824638086523332e-09;
BEAUTY VS SPORTS:	 statistic= 6.323978878637909;	 p_value= 2.6314207091498516e-10;
BEAUTY VS TRAVEL_AND_LOCAL:	 statistic= 2.6417927627871034;	 p_value= 0.008262757557516265;
BEAUTY VS VIDEO_PLAYERS:	 statistic= 2.6258738720253683;	 p_value= 0.008661422024618653;
BEAUTY VS WEATHER:	 statistic= 6.231096620006708;	 p_value= 4.81640008708109e-10;
BOOKS_AND_REFERENCE VS BUSINESS:	 statistic= 5.493765666676154;	 p_value= 4.126157191163352e-08;
BOOKS_AND_REFERENCE VS COMMUNICATION:	 statistic= 3.0637517123286675;	 p_value= 0.002199979273141879;
BOOKS_AND_REFERENCE VS EDUCATION:	 statistic= -2.8857201409708617;	 p_value= 0.003916869726084184;
BOOKS_AND_REFERENCE VS EVENTS:	 statistic= 9.262487056808121;	 p_value= 2.4326672901686444e-20;
BOOKS_AND_REFERENCE VS FINANCE:	 statistic= 7.433380415604455;	 p_value= 1.2094636491463575e-13;
BOOKS_AND_REFERENCE VS FOOD_AND_DRINK:	 statistic= 4.966680175789635;	 p_value= 6.91036325419472e-07;
BOOKS_AND_REFERENCE VS HOUSE_AND_HOME:	 statistic= 6.994925355378131;	 p_value= 2.816232968714418e-12;
BOOKS_AND_REFERENCE VS LIBRARIES_AND_DEMO:	 statistic= 7.949567330125005;	 p_value= 2.140403938875189e-15;
BOOKS_AND_REFERENCE VS LIFESTYLE:	 statistic= 4.437689292817942;	 p_value= 9.196827640932359e-06;
BOOKS_AND_REFERENCE VS MEDICAL:	 statistic= 9.106623491150613;	 p_value= 9.845804131542464e-20;
BOOKS_AND_REFERENCE VS PARENTING:	 statistic= 8.43721949762626;	 p_value= 3.574938887444418e-17;
BOOKS_AND_REFERENCE VS PERSONALIZATION:	 statistic= 2.0813723084411846;	 p_value= 0.03743008929899409;
BOOKS_AND_REFERENCE VS PHOTOGRAPHY:	 statistic= 3.9205009019279027;	 p_value= 8.983539299760428e-05;
BOOKS_AND_REFERENCE VS SHOPPING:	 statistic= -3.4775388700578223;	 p_value= 0.0005109910765402152;
BOOKS_AND_REFERENCE VS SOCIAL:	 statistic= -3.5087344781833765;	 p_value= 0.00045409550112957236;
BOOKS_AND_REFERENCE VS SPORTS:	 statistic= 5.91248542727403;	 p_value= 3.4845813623023905e-09;
BOOKS_AND_REFERENCE VS TRAVEL_AND_LOCAL:	 statistic= 2.8037070619886215;	 p_value= 0.005073499850098016;
BOOKS_AND_REFERENCE VS VIDEO_PLAYERS:	 statistic= 2.6439440674966646;	 p_value= 0.008231589022568292;
BOOKS_AND_REFERENCE VS WEATHER:	 statistic= 5.848704582435806;	 p_value= 5.193132155602208e-09;
BUSINESS VS COMICS:	 statistic= -3.801658166402586;	 p_value= 0.00014432747836278211;
BUSINESS VS DATING:	 statistic= -7.4557696807409695;	 p_value= 9.841617848548172e-14;
BUSINESS VS EDUCATION:	 statistic= -7.509663828310691;	 p_value= 6.597229169973087e-14;
BUSINESS VS ENTERTAINMENT:	 statistic= -6.407550246211874;	 p_value= 1.5620800450021218e-10;
BUSINESS VS EVENTS:	 statistic= 2.456261536755036;	 p_value= 0.014055985208556391;
BUSINESS VS FINANCE:	 statistic= 2.685458097533524;	 p_value= 0.007261729615998131;
BUSINESS VS FOOD_AND_DRINK:	 statistic= -2.941586072301341;	 p_value= 0.0032716992520230156;
